Batch_ID,Build,TE_ID,Test_Venue,Simulation_Host,SDL,Batch_Attempts,Total_Init_Time,Variant,Run_Type,Ship,Config_File_Name,Script_File_Name,Section_Number,Section_UID,Procedure_Document,P,F,B,U,Issue
94700,40S03.00_R2,147576,FARM1,adc-svr-vl607,40S03.00_R2_SysTest,3,554,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94701,40S03.00_R2,147495,FARM1,adc-svr-vl533,40S03.00_R2_SysTest,1,547,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94702,40S03.00_R2,147493,FARM1,adc-svr-vl605,40S03.00_R2_SysTest,1,555,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94703,40S03.00_R2,147489,FARM1,adc-svr-vl623,40S03.00_R2_SysTest,2,552,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94704,40S03.00_R2,147402,FARM1,adc-svr-vl611,40S03.00_R2_SysTest,3,530,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94705,40S03.00_R2,147545,FARM1,adc-svr-vl619,40S03.00_R2_SysTest,1,540,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94706,40S03.00_R2,147481,FARM1,adc-svr-vl549,40S03.00_R2_SysTest,2,537,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94707,40S03.00_R2,147456,FARM1,adc-svr-vl625,40S03.00_R2_SysTest,1,533,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94708,40S03.00_R2,147465,FARM1,adc-svr-vl623,40S03.00_R2_SysTest,1,552,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94709,40S03.00_R2,147529,FARM1,adc-svr-vl545,40S03.00_R2_SysTest,2,542,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94710,40S03.00_R2,147369,MVDL1,mvdl-m05-h01,40S03.00_R2_SysTest,1,573,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94711,40S03.00_R2,147375,MVDL1,mvdl-m08-h01,40S03.00_R2_SysTest,1,596,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,6,1,0,0,"{'1': {'step': '3a', 'type': 'TF', 'issue': ''}}"
94712,40S03.00_R2,147544,FARM1,adc-svr-vl615,40S03.00_R2_SysTest,2,552,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94713,40S03.00_R2,147504,FARM1,adc-svr-vl545,40S03.00_R2_SysTest,2,536,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94714,40S03.00_R2,147453,FARM1,adc-svr-vl543,40S03.00_R2_SysTest,1,553,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94715,40S03.00_R2,147419,FARM1,adc-svr-vl543,40S03.00_R2_SysTest,2,555,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94716,40S03.00_R2,147428,MVDL1,mvdl-m04-h01,40S03.00_R2_SysTest,1,568,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94717,40S03.00_R2,147158,FARM1,adc-svr-vl607,40S03.00_R2_SysTest,1,546,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94718,40S03.00_R2,147535,FARM1,adc-svr-vl509,40S03.00_R2_SysTest,1,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94719,40S03.00_R2,147397,MVDL1,mvdl-m02-h01,40S03.00_R2_SysTest,1,591,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94720,40S03.00_R2,147537,FARM1,adc-svr-vl541,40S03.00_R2_SysTest,2,554,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94721,40S03.00_R2,147386,MVDL1,mvdl-m01-h01,40S03.00_R2_SysTest,1,583,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94722,40S03.00_R2,147556,FARM1,adc-svr-vl509,40S03.00_R2_SysTest,2,558,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94723,40S03.00_R2,147491,FARM1,adc-svr-vl603,40S03.00_R2_SysTest,1,538,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94724,40S03.00_R2,147394,FARM1,adc-svr-vl609,40S03.00_R2_SysTest,1,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94725,40S03.00_R2,147374,FARM1,adc-svr-vl547,40S03.00_R2_SysTest,1,538,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94726,40S03.00_R2,147429,MVDL1,mvdl-m01-h01,40S03.00_R2_SysTest,1,584,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94727,40S03.00_R2,147558,FARM1,adc-svr-vl623,40S03.00_R2_SysTest,2,540,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94728,40S03.00_R2,147496,FARM1,adc-svr-vl615,40S03.00_R2_SysTest,4,530,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94729,40S03.00_R2,147484,FARM1,adc-svr-vl611,40S03.00_R2_SysTest,2,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,6,1,0,0,"{'1': {'step': '3a', 'type': 'TF', 'issue': ''}}"
94730,40S03.00_R2,147505,FARM1,adc-svr-vl617,40S03.00_R2_SysTest,2,535,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94731,40S03.00_R2,147554,FARM1,adc-svr-vl609,40S03.00_R2_SysTest,1,537,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94732,40S03.00_R2,147471,FARM1,adc-svr-vl535,40S03.00_R2_SysTest,1,544,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94733,40S03.00_R2,147380,FARM1,adc-svr-vl613,40S03.00_R2_SysTest,1,538,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94734,40S03.00_R2,147474,FARM1,adc-svr-vl613,40S03.00_R2_SysTest,2,538,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94735,40S03.00_R2,147360,FARM1,adc-svr-vl609,40S03.00_R2_SysTest,1,562,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94736,40S03.00_R2,147557,FARM1,adc-svr-vl621,40S03.00_R2_SysTest,2,1193,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,6,1,0,0,"{'4': {'step': '4c', 'type': 'TF', 'issue': ''}}"
94737,40S03.00_R2,147452,FARM1,adc-svr-vl623,40S03.00_R2_SysTest,1,540,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
